objectid,gmrap_id,coded_id,tract_name,name,name_other,name_group,includes,sitestatus,country,state_prov,latitude,longitude,dep_type,dep_subtype,age_ma,age_method,age_range,age_ref,comm_major,comm_minor,comm_trace,tonnage_mt,cu_pct,mo_pct,au_g_t,ag_g_t,con_cu_t,au_mo,comments,minerals,assd_rock,dev_status,ref_list,setting,study_area,short_ref,strat_age
2131,39,003pCu9007,"Sierran Arc","Lights Creek","Moonlight Valley",,,deposit,"United States",California,40.195,-120.853888889,"Porphyry copper",NA,100,unknown,"100 Ma","Singer and others (2008)",Cu,,,318,0.34,-9999,0.05,3.2,1100000,-9999,,"actinolite, azurite/malachite, bornite, carbonate, chalcocite, chalcopyrite, chlorite, chrysocolla, copper, covellite, epidote, galena, hematite, jamesonite, limonite, magnetite, molybdenite, pyrite, pyrrhotite, sericite, sphalerite, stibnite, tetrahedrite/tennantite, tourmaline","aplite, granite porphyry, quartz porphyry, serpentinite, andesite, agglomerate, alaskite, basalt, gabbro, granite, granodiorite, metasedimentary rocks, metavolcanic rocks, quartz diorite, quartz monzonite, schist",Occurrence,"Anderson (1931); Sheffield Resources Ltd. (2006); Smith (1970); Storey (1978); Singer and others (2008)",mixed,"United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",Cretaceous
2132,3375,003pCu5003,"Yukon-Tanana Upland","Little Enchilada",,,,prospect,"United States",Alaska,64.1895,-142.9676,"Porphyry copper",NA,-9999,"Geologic inference","Jurassic or Cretaceous","geologic inference","Cu, Mo, Pb","Ag, Au",,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Biotite-quartz monzonite with well-developed sericitic/phyllic alteration occurs in the vicinity (in a saddle at an elevation of 4,100 ft); alteration appears to diminish up the ridge to the north but continues down the ridge to the south for at least one-half mile. Quartz-molybdenite veins cut the altered quartz monzonite. Stream-sediment reconnaissance and follow-up prospecting were conducted in 1977, and reconnaissance mapping and a soil survey were conducted in 1979.",molybdenite,,Prospect,"U.S. Geological Survey (2014a)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)","Jurassic or Cretaceous"
2133,3410,003pCu5002,"Eastern Alaska Range and Wrangell Mountains","London and Cape",,,,prospect,"United States",Alaska,61.5666,-143.7166,"Porphyry copper",NA,-9999,"Geologic inference","Late Jurassic","geologic inference",Cu,"Ag, Mo",,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Pyrite-and chalcopyrite-bearing veinlets and disseminations occur in locally altered Jurassic-age granodiorite. Samples of the mineralization contain up to 1.5 ppm silver, 20,000 ppm copper, and 70 ppm molybdenum; however, most samples contain less than 1,000 ppm copper. Fourteen claims were patented in 1909 and early exploration included a 245-foot-long adit. Some exploration took place in the 1970s.","chalcopyrite, pyrite",,Prospect,"U.S. Geological Survey (2014a); MacKevett (1976)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)","Late Jurassic"
2134,3331,003pCu9008,"Southwest Laramide East","Lone Mountain",,,,prospect,"United States","New Mexico",32.718437905,-108.17713408,"Porphyry copper",NA,-9999,"Geologic inference","~80–35 Ma (Laramide orogeny)","geologic inference",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"New discovery.",,,Occurrence,"Moore and Moran (2006); McLemore (2008)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)","Late Cretaceous–Paleocene–Eocene"
2135,3333,003pCu9008,"Southwest Laramide East",Lordsburg,,,,prospect,"United States","New Mexico",32.312046351,-108.753279011,"Porphyry copper",NA,-9999,"Geologic inference","~80–35 Ma (Laramide orogeny)","geologic inference",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Cu-Au exploration by Entrée Gold Inc. Drill confirmed Cu-Au over a 600 by 600 m area. Contact between feldspar porphyry stock and volcanic rocks.",,,Occurrence,"Entrée Gold Inc. (2013)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)","Late Cretaceous–Paleocene–Eocene"
2136,3396,003pCu5004,"Western Alaska Range","Lucky Strike",,,,prospect,"United States",Alaska,62.4125,-147.8753,"Porphyry copper",NA,-9999,"not dated",,,"Cu, Zn",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Located at the contact between basalt and Jurassic-age(?) granodiorite. One claim was staked in 1978. Rock-chip samples contain up to 60 ppm copper and 134 ppm zinc. Contact metamorphism; iron staining.",,,Prospect,"U.S. Geological Survey (2014a); Kurtak and others (1992)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",
2137,43,003pCu9006x,"Western U.S. and Sonoran Desert Jurassic Arc",MacArthur,,,,deposit,"United States",Nevada,39.05,-119.24,"Porphyry copper",NA,161,unknown,"161 Ma","Singer and others (2008)",Cu,,,88,0.21,-9999,-9999,-9999,180000,-9999,,"actinolite, azurite/malachite, biotite, chalcocite, chalcopyrite, chrysocolla, goethite/limonite, pyrite, tenorite","granite porphyry, quartz monzonite porphyry, argillite, gypsum, ignimbrite, rhyolite, sandstone, volcaniclastic rocks, andesite, granite, hornfels, quartz monzonite, skarn",Occurrence,"Albino (1995); Anonymous (1993a); Dilles and Proffett (1995); Einaudi (1982); Heatwole (1978); Steininger (1995); Singer and others (2008)",mixed,"United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)","Middle Jurassic–Late Jurassic"
2138,23,003pCu9014,"Cascade Arc",Margaret,Earl,,,deposit,"United States",Washington,46.356388889,-122.080833333,"Porphyry copper",NA,16,unknown,"17–16 Ma","Singer and others (2008)",Cu,,,523,0.36,0.011,0.24,1.6,1900000,22,,"arsenopyrite, azurite/malachite, biotite, bornite, chalcopyrite, chlorite, chrysocolla, copper, covellite, epidote, galena, goethite/limonite, kaolinite, magnetite, molybdenite, pyrite, Sb-mineral, sericite, sphalerite, tourmaline","andesite dike, breccia, dacite dike, quartz porphyry dike, volcanic rocks, volcaniclastic rocks, granodiorite, quartz diorite, quartz monzonite",Occurrence,"Chaffee (1994); Derkey and others (1990); Lasmanis (1995); Singer and others (2008)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",Miocene
2139,13,003pCu5005,"Southeast Alaska Tertiary","Margerie Glacier",Porcupine,,,deposit,"United States",Alaska,59.019444444,-137.083333333,"Porphyry copper",Cu-Au,34,unknown,"34 Ma","Singer and others (2008)",Cu,,,145,0.2,-9999,0.24,4.5,300000,-9999,,"arsenopyrite, biotite, chalcopyrite, chlorite, epidote, molybdenite, pyrite, pyrrhotite, scheelite, sericite, sphalerite","quartz monzonite porphyry, hornfels, andesite, marble, shale, metavolcanic rocks",Occurrence,"Nokleberg and others (1987); Singer and others (2008)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",Tertiary
2140,16,003pCu9014,"Cascade Arc",Mazama,,,,deposit,"United States",Washington,48.614722222,-120.381944444,"Porphyry copper",NA,88,unknown,"90–87 Ma","Singer and others (2008)",Cu,,,135,0.36,0.006,0.03,-9999,490000,5,"1991 potential resources estimate 454 Mt at 0.4% Cu and 0.34 g/t Au.","actinolite, anhydrite, arsenopyrite, azurite/malachite, biotite, bornite, chalcopyrite, chlorite, chrysocolla, copper, covellite, epidote, galena, goethite/limonite, kaolinite, magnetite, molybdenite, montmorillonite, pyrite, sericite, tourmaline","breccia, diorite, feldspar porphyry, hornfels, quartz diorite, quartz diorite porphyry, quartz feldspar porphyry, granite, granodiorite, andesite, dacite, graywacke, sandstone, siltstone, tuff, volcanic breccia",Prospect,"InterAmerican Resources Inc. (2001); Lasmanis (1995); Jones and Riedell (1995); Riedell and others (1996); Singer and others (2008)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)","Late Cretaceous"
2141,3376,003pCu5003,"Yukon-Tanana Upland",McLeod,,,,prospect,"United States",Alaska,63.2711,-159.2846,"Porphyry copper",NA,-9999,"Geologic inference","Late Cretaceous or Tertiary","geologic inference",Mo,"Ag, Cu, Mn, Pb, Sn, U, W",,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Platy aggregates and grains of molybdenite occur in sparse, northeast-trending, milky-white quartz veinlets and veins up to 8 inches in thickness. The veins cut hornfels, clastic sedimentary rocks, minor intermediate to mafic volcanic rocks, and biotite-quartz-feldspar porphyritic dikes, near the southwestern margin of a Cretaceous- or Tertiary-age quartz-feldspar-porphyritic granite stock. The intrusive rocks are locally silicified and sericitized. Several prospect pits and trenches were dug and caved prior to 1945. No underground exploration; surface exploration and mapping was conducted in 1976.","ferrimolybdite, molybdenite",,Prospect,"U.S. Geological Survey (2014a)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)","Late Cretaceous or Tertiary"
2142,62,003pCu3007x,"Western Sierra Madre Occidental and Laramide Central",Miami-Inspiration,,,"Bluebird, Copper Cities, Globe, Van Dyke",deposit,"United States",Arizona,33.408255012,-110.875399558,"Porphyry copper",Cu-Mo,64,unknown,"64–63 Ma","Singer and others (2008)",Cu,,,1591,0.63,0.01,0.009,0.7,10000000,0.9,"20% covered.","atacamite, azurite/malachite, biotite, bornite, brochantite, chalcanthite, chalcocite, chalcopyrite, chlorite, chrysocolla, copper, covellite, cuprite, epidote, galena, kaolinite, limonite, molybdenite, palygorskite, powellite, pyrite, sericite, sphalerite, turquoise","aplite, granite porphyry, quartz monzonite porphyry, conglomerate, dacite, diabase, limestone, quartz monzonite, schist",Producer,"Creasey (1980); Long (1995); Olmstead and Johnson (1966); Peterson (1954); Peterson (1962); Simmons and Fowells (1966); Singer and others (2008)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",Paleocene
2143,21,003pCu9014,"Cascade Arc","Middle Fork","Three Brothers, Clipper, Condor, Hemlock/Porter",,,deposit,"United States",Washington,47.5,-121.366666667,"Porphyry copper",NA,25,unknown,"25 Ma","Singer and others (2008)",Cu,,,93,0.41,0.02,-9999,-9999,380000,-9999,,"ankerite, arsenopyrite, azurite/malachite, barite, biotite, carbonate, chalcocite, chalcopyrite, chlorite, cosalite, covellite, epidote, galena, gold, molybdenite, prehnite, pyrite, pyrrhotite, sericite, siderite, sphalerite","breccia, quartz diorite porphyry, granodiorite, quartz diorite, quartz monzonite, tonalite",Occurrence,"Lasmanis (1995); Patton and others (1973); Singer and others (2008)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",Oligocene
2144,3426,003pCu5006,"Alaska Peninsula and Aleutian Islands",Mike,,,,prospect,"United States",Alaska,57.054,-157.235,"Porphyry copper",NA,-9999,"Geologic inference","Pliocene or younger (Inferred from age of intrusives.)","Wilson and Shew (1982)",Mo,"Cu, Pb, Zn",,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Originally identified in 1975 on the basis of the color anomaly and a stream-sediment survey showing a large copper-molybdenum anomaly. The area consists of dikes, sills, and stocks which have intruded sandstones of the Jurassic-age Naknek Formation. The main area of mineralization occurs in a zone of silica flooding around and within a rhyolite porphyry stock; the silica-flooded zone in the rhyolite stock is in part surrounded and overlapped by intense sericitic and phyllic alteration; beyond this zone the rocks have been propylized. Detailed mapping and sampling and drilling in 1977.","chalcopyrite, galena, hematite, magnetite, molybdenite, pyrite, sphalerite",,Prospect,"U.S. Geological Survey (2014a); Church and others (1989); Wilson and Shew (1982)",mixed,"United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)","Pliocene or younger"
2145,65,003pCu3007x,"Western Sierra Madre Occidental and Laramide Central","Mineral Butte",,,,deposit,"United States",Arizona,33.11,-111.58,"Porphyry copper",NA,70,unknown,"70 Ma","Singer and others (2008)",Cu,,,13,0.4,-9999,-9999,-9999,50000,-9999,"25% covered.","chalcopyrite, limonite, pyrite","quartz monzonite, basalt, diabase, granite, schist",Occurrence,"Chaffee (1976); Singer and others (2008)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)","Late Cretaceous"
2146,83,003pCu3007x,"Western Sierra Madre Occidental and Laramide Central",Mission-Pima,,,"Palo Verde",deposit,"United States",Arizona,31.988862697,-111.067493527,"Porphyry copper",NA,58,unknown,"58 Ma","Singer and others (2008)",Cu,,,900,0.52,0.015,-9999,2,4700000,-9999,"The Dynamite deposit (31.926 N, 110.769 E; 91 Mt at 0.53% Cu ) is considered as a part of the Mission-Pima deposit. Exposed.","actinolite, azurite/malachite, biotite, bornite, brochantite, chalcopyrite, chlorite, chrysocolla, clay minerals, copper, cuprite, dolomite, fluorite, garnet, gypsum, hematite, jarosite, limonite, molybdenite, pyrite, scheelite, sericite, sphalerite, tetrahedrite, tremolite, wollastonite","quartz monzonite porphyry, skarn, basalt, rhyolite, argillite, conglomerate, dolomite, gypsum, limestone, marble, mudstone, sandstone, siltstone",Producer,"Einaudi (1982); Jansen (1982); Kennison (1966); Titley (1982); Williamson and Poulton (1995); Singer and others (2008)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",Paleocene
2147,3326,003pCu9007,"Sierran Arc","Monte Cristo",,,,prospect,"United States",Nevada,39.239502775,-115.568690389,"Porphyry copper",NA,-9999,"Geologic inference",Cretaceous,"geologic inference",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Porphyry target below known skarn deposits. Mo occurrence.",,,Occurrence,"Wendt and Albino (1992); Sonnevil (1979)",mixed,"United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",Cretaceous
2148,77,003pCu9008,"Southwest Laramide East",Morenci-Metcalf,,,,deposit,"United States",Arizona,33.103611111,-109.361111111,"Porphyry copper",Cu-Mo,56,unknown,"56 Ma","Singer and others (2008)",Cu,,,6470,0.524,0.0095,0.028,1.6,33900000,2.9,"15% covered.","azurite/malachite, biotite, brochantite, chalcanthite, chalcocite, chalcopyrite, chlorite, chrysocolla, copper, covellite, cuprite, diopside, epidote, galena, garnet, goethite/limonite, gypsum, hematite, kaolinite, magnetite, molybdenite, montmorillonite, pyrite, sericite, siderite, sphalerite, stibnite, torbernite, wollastonite","aplite, breccia, diabase dikes, granite porphyry, hornfels, quartz monzonite porphyry, skarn, andesite, basalt, conglomerate, granite, granodiorite, quartzite, rhyolite, sandstone, schist, shale, tuff, diorite porphyry, dolomite, limestone, monzonite porphyry",Producer,"Einaudi (1982); Langton (1973); Long (1995); McCandless and Ruiz (1993); Moolick and Durek (1966); Niemuth (1994); Singer and others (2008)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",Paleocene
2149,64,003pCu3007x,"Western Sierra Madre Occidental and Laramide Central","Morgan Peak","Summit district, Lone Pine, Lonesome Pine",,,prospect,"United States",Arizona,33.33614169,-110.902070451,"Porphyry copper",NA,61,unknown,"61 Ma","Singer and others (2008)",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Partial resource of as much as about 40 Mt at 0.26% Cu (mixed oxide and sulfide ore). Drilled; 4 target areas include chalocite supergene ore, breccia pipe, and hypogene ore.","chalcocite, chalcopyrite","granite, monzonite",Prospect,"Toro Resources Corp. (2013); Singer and others (2008)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",Paleocene
2150,3314,003pCu9004,"Northern Rocky Mountains","Morning Glory","Diamond Hill",,,prospect,"United States",Montana,46.31168505,-111.66954129,"Porphyry copper",NA,-9999,"not dated",,,Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,Occurrence,"Tysdal and others (1996)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",
2151,3377,003pCu5003,"Yukon-Tanana Upland",Mosquito,,,,prospect,"United States",Alaska,63.89,-143.47,"Porphyry copper",NA,70,Ar-Ar,"70.0 ±0.3 Ma","Newberry and others (1998)","Cu, Mo","Ag, Pb, Zn",,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Disseminated chalcopyrite, magnetite, molybdenite, and pyrite in an intrusion of hydrothermally altered quartz monzonite and quartz latite porphyry. Zones of quartz-sericite-pyrite, quartz-magnetite, and epidote-chlorite-quartz pyrite alteration. Mapping, trenching, rock and soil sampling, and 3 miles of IP lines in 19701973; 788 ft of drilling in 2 holes, and 2.5 miles of IP lines in 19741975; petrographic analyses, mapping at scales of 1:10,000 and 1:5,000, a geochemical soil and rock sampling grid, and magnetics on the soil grid in 1979; analyzed 22 miles of soil traverses in 1981; rock, soil and stream sediment sampling for gold in 1990.","chalcopyrite, magnetite, molybdenite, pyrite",,Prospect,"U.S. Geological Survey (2014a); Newberry and others (1998)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)","Late Cretaceous"
2152,3378,003pCu5003,"Yukon-Tanana Upland","Mount Fairplay",,,,prospect,"United States",Alaska,63.6888,-142.2599,"Porphyry copper",NA,-9999,"Geologic inference","Late Cretaceous (Inferred from age of host rock and a possible genetic tie to the Mount Fairplay pluton.)","geologic inference","Au, Mo, Pb, Zn",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Late Cretaceous-age felsic volcanic rocks just beyond the northern contact of the Late Cretaceous- to early Tertiary-age Mount Fairplay pluton. A large block of claims was staked in the 1970s; work apparently consisted mainly of surface mapping, sampling, and geochemistry. Hydrothermal alteration.","chalcopyrite, galena, molybdenite, pyrite, sphalerite",,Prospect,"U.S. Geological Survey (2014a); Adams (2009)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)","Late Cretaceous"
2153,3300,003pCu2004x,"Cordilleran Continental Arc","Mount Tolman",,,,deposit,"United States",Washington,48.055722436,-118.695358157,"Porphyry copper",Cu-Mo,-9999,"Geologic inference",Eocene,,Cu,,,2400,0.09,0.056,-9999,-9999,2160000,-9999,Mo-rich.,,,Occurrence,"Lasmanis and Utterback (1995)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",Eocene
2154,3335,003pCu3010x,"Eastern Alkaline Province",Mudpuppy-Waterdog,,,,prospect,"United States","New Mexico",33.475622232,-105.740554157,"Porphyry copper",NA,-9999,"Geologic inference",Tertiary,"geologic inference","Cu, Au",,"Mo, Te",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Concentrically zoned alklaic porphyry system; Cu-Au potassic core may be present at depth below silica-limonite breccia. Drilled (8 shallow holes to 530 ft) and 1 deep core (to 1339 ft) by Phillips Petroleum in 1960s. Several 20-ft zones of 0.2 to 0.4% Cu. In alkaline igenous province.",,,Occurrence,"U.S. Geological Survey (2014b); Fulp and Woodward (1991)",postconvergence,"United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",Tertiary
2155,3411,003pCu5002,"Eastern Alaska Range and Wrangell Mountains",Neil,,,,prospect,"United States",Alaska,62.2272,-142.7283,"Porphyry copper",NA,105,K-Ar,"114 ±3.4 to 105 ±4.0Ma (Inferred from age of Nabesna pluton.)","Richter, Lanphere, and Matson (1975)",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"An unpublished National Park Service map and accompanying database identify this locality as a copper prospect. Bedrock is dominantly granitic rocks of the mid-Cretaceous-age Nabesna pluton which is locally intruded by dikes, small irregular bodies,and stocks of hornblende-plagioclase porphyry of Tertiary age.",,,Prospect,"U.S. Geological Survey (2014a); Richter, Lanphere, and Matson (1975)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)","Early Cretaceous"
2156,3305,003pCu9004,"Northern Rocky Mountains","New World","Fisher Mountain",,,prospect,"United States",Montana,45.06652132,-109.959940941,"Porphyry copper",NA,-9999,"not dated",,,Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,Occurrence,"Hammarstrom and others (1993)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",
2157,3412,003pCu5002,"Eastern Alaska Range and Wrangell Mountains",Nike,,,,prospect,"United States",Alaska,62.2189,-142.7603,"Porphyry copper",NA,105,K-Ar,"114 ±3.4 to 105 ±4.0Ma (Inferred from age of Nabesna pluton.)","Richter, Lanphere, and Matson (1975)","Ag, Cu",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"An unpublished National Park Service map and accompanying database identify this locality as a copper-silver porphyry prospect. Numerous surface diggings and short shafts. Bedrock is dominantly granitic rocks of the mid-Cretaceous-age Nabesna pluton which is locally intruded by dikes, small irregular bodies, and stocks of hornblende-plagioclase porphyry of Tertiary age.",,,Prospect,"U.S. Geological Survey (2014a); Richter, Lanphere, and Matson (1975)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)","Early Cretaceous"
2158,20,003pCu9014,"Cascade Arc","North Fork Snoqualmie River","Condor Hemlock",,,deposit,"United States",Washington,47.6775,-121.636388889,"Porphyry copper",NA,18,unknown,"18 Ma","Singer and others (2008)",Cu,,,128,0.68,0.0082,0.1,-9999,870000,10,,"azurite/malachite, biotite, bornite, brochantite, chalcopyrite, chlorite, digenite, epidote, goethite/limonite, gold, magnetite, molybdenite, pyrite, pyrrhotite, scheelite, sericite, sphalerite","breccia, lamprophyre, quartz feldspar porphyry, quartz latite porphyry, granodiorite, metasedimentary rocks, andesite, andesite volcaniclastics, quartz diorite",Occurrence,"Lasmanis (1995); Long and others (1998); Herdrick and others (1995); Hollister and Bauman (1978); Singer and others (2008)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",Miocene
2159,3379,003pCu5003,"Yukon-Tanana Upland","North Peternie",,,,prospect,"United States",Alaska,63.672,-142.869,"Porphyry copper",NA,102.8,"Ar-Ar potassium feldspar","102.8 ±0.5 Ma (Inferred from age of Peternie.)","Newberry and others (1998)",Pb,"Ag, Mo",,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Pyritic, granite intrusives. Quartz monzonite and latite porphyry rocks are hydrothermally altered. Soil samples contain anomalous values of molybdenum and silver.",pyrite,,Prospect,"U.S. Geological Survey (2014a); Newberry and others (1998)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)","Early Cretaceous"
2160,14,003pCu5005,"Southeast Alaska Tertiary",Nunatak,"Muir Inlet",,,deposit,"United States",Alaska,58.9875,-136.102777778,"Porphyry copper",Cu-Mo,-9999,"not dated",,,Cu,,,120,0.18,0.03,-9999,-9999,220000,-9999,"Grab sample: 1.2 g/t Au and 212 g/t Ag.","actinolite, albite, alunite, biotite, bornite, chalcopyrite, chlorite, enargite, epidote, malachite, pyrite, pyrrhotite, tetrahedrite","andesite dike, hornfels, quartz monzonite porphyry, rhyodacite porphyry, skarn, limestone, calcareous shale",Occurrence,"Brew and others (1978); MacKevett and others (1971); Nokleberg and others (1987); Singer and others (2008)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",
2161,50,003pCu9013,"Great Basin Tertiary",OK,,,,deposit,"United States",Utah,38.480555556,-113.299722222,"Porphyry copper",NA,28,unknown,"28 Ma","Singer and others (2008)",Cu,,,10,0.5,0.023,-9999,-9999,50000,-9999,"Production: ~ 7,000 t Cu.","actinolite, azurite/malachite, biotite, chalcocite, chalcopyrite, chlorite, chrysocolla, covellite, cuprite, epidote, kaolinite, limonite, magnetite, molybdenite, powellite, pyrite, sericite, tourmaline","aplite, breccia, andesite, dacite, dolomite, limestone, quartz latite, quartz monzonite",Producer,"Barosh (1960); Lemon and others (1973); Taylor (1984); Taylor (1987); Singer and others (2008)",postconvergence,"United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",Oligocene
2162,3397,003pCu5004,"Western Alaska Range","Old Gold",,,,prospect,"United States",Alaska,62.3624,-147.9406,"Porphyry copper",NA,-9999,"not dated",,,"Ag, Au",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Quartz diorite is clay-altered and iron-stained. The rocks in the vicinity are Jurassic-age granodiorite. Two claims were staked in 1978.",limonite,,Prospect,"U.S. Geological Survey (2014a); Kurtak and others (1992)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",
2163,3353,003pCu3007x,"Western Sierra Madre Occidental and Laramide Central","Oracle Ridge",,,,prospect,"United States",Arizona,32.477529998,-110.722151102,"Porphyry copper",NA,-9999,"Geologic inference","~80–35 Ma (Laramide orogeny)","geologic inference",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Partial resource of about 4 Mt at 2.23% Cu (mixed oxide and sulfide ore).",,,Occurrence,"Nations and Phillips (1997)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)","Late Cretaceous–Paleocene–Eocene"
2164,8,003pCu5002,"Eastern Alaska Range and Wrangell Mountains","Orange Hill",,,,deposit,"United States",Alaska,62.204,-142.8449,"Porphyry copper",NA,105,K-Ar,"114 ±3.4 to 105 ±4.0Ma (Inferred from age of Nabesna pluton.)","Richter, Lanphere, and Matson (1975)","Ag, Au, Cu, Mo",,,320,0.35,0.02,-9999,-9999,1100000,-9999,"The average grade of the unoxidized mineralization is estimated to be 0.35 percent copper and 0.02 percent molybdenum. Gold values range up to 0.04 ounce per ton and probably average about 0.005 ounce per ton. A central 400- by 2,000-meter altered zone contains abundant biotite, quartz veinlets, minor K-feldspar, chlorite, and sericite; it is cut by late anhydrite veins. An outer 1,000- by 3,000-m altered zone contains chlorite, minor sericite, and anhydrite. First discovered and staked as early as 1902 for its possible gold content; by 1940, 18 mining claims had been patented; extensively explored by open cuts, shafts, short adits, and much diamond drilling; underground workings total only 250 to 300 ft and most were reported be caved by 1944.","anhydrite, biotite, bornite, chalcopyrite, chlorite, epidote, kaolinite, magnetite, molybdenite, pyrite, sericite","quartz feldspar porphyry, trondhjemite, basalt, granodiorite, limestone, mudstone, quartz diorite, siltstone, volcaniclastics",Prospect,"U.S. Geological Survey (2014a); Mendenhall and Schrader (1903); Richter, Lanphere, and Matson (1975); Nokleberg and others (1987); Richter, Singer and Cox (1975); Young and others (1997); Singer and others (2008)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)","Early Cretaceous"
2165,3380,003pCu5003,"Yukon-Tanana Upland",Oreo,"Oreo Mountain",,,prospect,"United States",Alaska,63.38,-141.81,"Porphyry copper",NA,-9999,"not dated",,,Cu(?),,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Initially staked in the 1970s. Large intriguing geochemical anomaly reported (David Hedderly-Smith, oral communication, 1998).",,,Prospect,"U.S. Geological Survey (2014a)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",
2166,3361,003pCu3010x,"Eastern Alkaline Province",Orogrande,,,,prospect,"United States","New Mexico",32.444424348,-106.117400245,"Porphyry copper",NA,-9999,"Geologic inference",Tertiary,"geologic inference",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,Occurrence,"McLemore (1996)",postconvergence,"United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",Tertiary
2167,3398,003pCu5004,"Western Alaska Range","Ozzna Creek","BMP project",,,prospect,"United States",Alaska,62.2948,-153.9485,"Porphyry copper",NA,58,"K-Ar biotite","58 Ma (Inferred from age of intrusion.)","Solie and others (1991)","Ag, Au, Cu, Pb, Zn",Mo,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Base metal sulfide veins and replacement deposits in an extensive quartz-sericite-pyrite halo rimming a 450-m-wide, quartz-monzonite breccia pipe. The quartz-sericite-pyrite halo that surrounds the quartz-monzonite breccia pipe is from 15 to 60 m in width and can be traced along strike for about 450 m; disseminated chalcopyrite and traces of molybdenite occur in pyrite-rich igneous breccia. Surface sampling by several government agencies. Within a large block of claims as of 2008.","chalcopyrite, galena, molybdenite, pyrite, sphalerite",,Prospect,"U.S. Geological Survey (2014a); Reed and Elliott (1968); Solie and others (1991)","continental margin","United States","U.S. Geological Survey National Mineral Resource Assessment Team (2002)",Paleocene
